Carprofeno;5000.0;7500.0;20
Meloxicam;4200.0;6300.0;15
Cefalexina;3000.0;4500.0;40
Amoxicilina;4500.0;6750.0;25
Metronidazol;3500.0;5250.0;35
Doxiciclina;2700.0;4050.0;18
Prednisolona;2500.0;3750.0;22
Fenbendazol;3200.0;4800.0;30
Furosemida;2800.0;4200.0;12
Enrofloxacina;3700.0;5550.0;16
Itraconazol;4500.0;6750.0;25
Clindamicina;3600.0;5400.0;18
Ciprofloxacina;3300.0;4950.0;20
Gabapentina;2900.0;4350.0;14
Atropina;4000.0;6000.0;19
Lidocaina;3500.0;5250.0;10
Xilacina;3700.0;5550.0;22
Tiamina;2600.0;3900.0;30
Vitamina K1;4100.0;6150.0;17
Omeprazol;3000.0;4500.0;40
Tramadol;5100.0;7650.0;13
Diazepam;4200.0;6300.0;21
Amitriptilina;2900.0;4350.0;19
Metoclopramida;3500.0;5250.0;18
Hidrocortisona;2800.0;4200.0;16
Levotiroxina;3900.0;5850.0;25
Insulina;4900.0;7350.0;10
Ciclosporina;5500.0;8250.0;12
Acepromazina;2600.0;3900.0;23
Alopurinol;3300.0;4950.0;30
Clemastina;2800.0;4200.0;14
Betametasona;3700.0;5550.0;16
Clorfenamina;2500.0;3750.0;20
Dexametasona;3400.0;5100.0;18
Gentamicina;2900.0;4350.0;17
Nistatina;3200.0;4800.0;22
Oxitetraciclina;3600.0;5400.0;14
Ketoconazol;4100.0;6150.0;12
Maropitant;5300.0;7950.0;15
Ondansetron;4400.0;6600.0;13
Difenhidramina;2700.0;4050.0;24
Propranolol;2500.0;3750.0;18
Sulfadiazina;3400.0;5100.0;16
Terbinafina;3200.0;4800.0;25
Tilmicosina;4800.0;7200.0;14
Albendazol;3600.0;5400.0;17
Fluoxetina;3700.0;5550.0;11
Piroxicam;4100.0;6150.0;20
Valeriana;2900.0;4350.0;22
Fenobarbital;4200.0;6300.0;13
